Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Learning Rate
1,0.5686262412053524,0.7303366736356427,0.5180710588741784,0.7592592592592593,0.0001
2,0.3743555827780556,0.8274817965539615,0.4787488540615698,0.788047138047138,0.0001
3,0.2814459646176127,0.8745584312594622,0.45669207729474465,0.8175084175084175,0.0001
4,0.22223282325187008,0.9009083699805349,0.4453656258005084,0.8304713804713805,0.0001
5,0.18072598358297579,0.9201932088530027,0.4507878559707391,0.8400673400673401,0.0001
6,0.1609560503710254,0.929312955086151,0.455042816472776,0.8407407407407408,0.0001
7,0.13078416054020292,0.9429385047941748,0.5088228855771247,0.8466329966329966,0.0001
8,0.11457274948879856,0.9491384903756038,0.5044676897050154,0.8521885521885522,0.0001
9,0.10454698309176641,0.9544012688342586,0.4842982424630059,0.8594276094276094,0.0001
10,0.09201253528945956,0.9585466080311441,0.5327110533611943,0.8599326599326599,0.0001
11,0.07604658364590033,0.9659000793021412,0.5312152139917768,0.8572390572390572,1e-05
12,0.0695814263567336,0.9684233292480715,0.5373511569518031,0.8629629629629629,1e-05
13,0.06549573653442653,0.9702256506380218,0.5341056888603201,0.8572390572390572,1e-05
14,0.0660883090204679,0.9703337899214188,0.5360273214602711,0.8611111111111112,1e-05
