Epoch,Train Loss,Val Loss,Train F1,Val F1,Train Accuracy,Val Accuracy
1,0.5764248430215079,0.30811359484990436,0.7339531447788089,0.8746290605496942,0.7298660135427172,0.8703703703703703
2,0.3777684536601963,0.2782105306784312,0.8309228751796782,0.8729319953530904,0.8257455698026221,0.8629629629629629
3,0.28487422034658233,0.24017022053400675,0.877515668453265,0.9112081120709931,0.8745497766892378,0.9074074074074074
4,0.22467510061788148,0.2553267429272334,0.9058154247867578,0.9074408777333707,0.9034361043077367,0.9
5,0.17917910308159632,0.21912199755509695,0.9248225023476547,0.9321725744636865,0.9230298227921049,0.9296296296296296
6,0.14770931053649763,0.2350744903087616,0.9380166453690517,0.925523899222981,0.936464486385247,0.9222222222222223
7,0.12525989919708208,0.23101375500361124,0.9479998836917872,0.9270739317671935,0.9468736493300677,0.9222222222222223
8,0.11483772995014643,0.24290087819099426,0.953472489642874,0.9373449131513647,0.9523123469240743,0.9333333333333333
9,0.10012109386574092,0.24498037000497183,0.9588679345965133,0.9325131465348089,0.9579311338423858,0.9296296296296296
10,0.08971667296959665,0.2578403254350026,0.9626126748292285,0.9139305463393055,0.9617130096527878,0.9111111111111111
11,0.08265728631121075,0.20450841635465622,0.9649388909674975,0.9376350725532571,0.9640901887336119,0.9333333333333333
12,0.06942797937141411,0.28202927112579346,0.9716589355936245,0.9251486093220743,0.9709335830571963,0.9222222222222223
13,0.06571991890990014,0.2985778401295344,0.9719354689570024,0.9101424353504335,0.9711496902463622,0.9074074074074074
14,0.05971426557516679,0.2545204708973567,0.9747169673104472,0.9135754930903178,0.9740671373001009,0.9074074074074074
15,0.057801001018780315,0.26709205905596417,0.9758062806178893,0.925523899222981,0.97514767324593,0.9222222222222223
16,0.05562508843261106,0.3018003006776174,0.9761606241078075,0.925523899222981,0.9756159054891226,0.9222222222222223
17,0.05223605087717417,0.29059696197509766,0.9782560905087346,0.9006570390858933,0.977668923786198,0.9
18,0.051694151130504906,0.2854312111934026,0.977539108681917,0.9091066904969312,0.9769125486241176,0.9037037037037037
19,0.04689140502234985,0.3025612235069275,0.9795438060081065,0.927403414195867,0.9790015847860539,0.9222222222222223
20,0.04616631828007642,0.269460067152977,0.9802671487216802,0.9066339613324187,0.9797219420832733,0.9037037037037037
21,0.043700718543701,0.31925314168135327,0.980585051402136,0.9066339613324187,0.980082120731883,0.9037037037037037
