label,pca_x,pca_y,tsne_x,tsne_y,lda_x,lda_y,umap_x,umap_y
B6,-1922.2484566744686,-1311.3733791085604,-17.480333,-15.175436,5.440373958800843,-0.6538896898632645,7.661644,-3.1624036
B6,2497.726266383337,-2331.403836942731,23.736418,-25.967165,5.510386386621079,-1.0591635805992625,10.480412,-2.1452935
B6,2472.9556618471083,129.02342899157242,11.73833,8.910852,5.556241668569555,-1.3246014336305163,9.932373,-4.425756
B6,5549.997801857059,73.72718874393072,45.660927,-6.453872,5.4674893274996075,-0.8108496941569784,12.6743765,-3.6030273
B6,-6830.623573063268,-2459.549167048424,-54.18912,-10.88521,5.466376880015416,-0.8044101814275582,5.1771426,-2.7017684
B6,2845.9174953948454,-1200.888344562323,14.015571,1.2989651,5.572651644026859,-1.4195922060906156,9.940609,-3.962849
B6,-2184.5937512585606,-290.540062614494,-19.124584,5.637547,5.915029142286814,-3.4014783531723216,7.507028,-4.5011287
B6,1376.3293530724457,-2263.235394301044,16.496927,-20.386547,5.475058845610651,-0.8546666014027942,9.63723,-2.3325605
B6,-941.5272839315035,-2717.0173598047754,1.438491,-20.987915,5.446369252231554,-0.6885940412250415,8.704504,-2.7013798
B6,-1503.8327025620747,-603.2646351439073,-17.785542,-10.018502,5.530203971753071,-1.1738796400406086,7.140778,-3.3604083
B6,788.4928173244255,-1552.6576944304522,2.320106,-27.079248,5.445977895110855,-0.6863286316694297,8.820442,-2.4125593
B6,-6301.713856367192,-2622.5588002524655,-54.15251,-11.289096,5.480390011875219,-0.8855265867151316,5.224788,-2.6595724
B6,-3802.1508315444366,-464.922526052508,-35.43511,-1.2521119,5.481079809148761,-0.8895195467306873,5.8614736,-4.608776
B6,7190.539412346322,1524.0730202995578,49.245926,7.395076,5.208397213679883,0.6889307347763745,13.850682,-4.106148
B6,-5110.364335541451,-1770.1591938877189,-45.971973,-9.454326,5.4305134056868365,-0.5968108990004954,4.9353595,-3.4139779
B6,-2362.9000962079776,-1058.4317493570804,-19.54522,-8.511025,5.469940653444999,-0.8250394378108749,6.8112717,-3.5377014
B6,-126.52728982607788,1341.019454873624,-5.5648694,17.429527,5.423875258959096,-0.5583853274927972,8.038945,-5.1081433
B6,2105.991053970716,998.2565729555712,22.47367,28.982546,5.478642051223268,-0.8754083429068538,10.472074,-4.710205
B6,565.8165911477764,1217.8502984775937,5.3998275,13.161219,5.449622287474078,-0.7074245587555787,9.215394,-4.61253
B6,-15.006071462184154,-629.1488441020097,-5.8151865,-10.863771,5.476895275200955,-0.8652969564453972,8.251997,-3.3897963
B6,2327.2030117684817,-23.910385847695373,9.385144,-1.6330459,5.493974850403308,-0.9641637735218707,9.864262,-4.037026
B6,-2333.4537448762985,-3666.600990116725,-30.577337,-28.290815,5.47141955327326,-0.833600196322881,6.3317547,-2.0939665
B6,739.4305743901867,-208.9657263087461,10.464457,-9.038444,5.437396975963937,-0.6366571290940013,9.63583,-3.9538794
B6,-1706.2314218441836,-1522.9936753581494,-14.160243,-25.3886,5.493756495298002,-0.9628998033121297,6.9944873,-2.5669305
B6,-1977.8697010908293,-2013.1311878094182,-22.958326,-14.654881,5.493965646164963,-0.9641104938746266,7.2496314,-3.251747
