0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
-1.4902881,-2.1317148,2.6754696,0.35603878,-1.4388859,1.3024582,-2.5697534,1.1414818,1.5269507,-1.2296473,-0.18839845,1.3523813,0.1450052,-0.719128,0.4788247,-0.39836133,-1.893044,2.1684244,-2.031518,0.20794466,1.2203317,-3.9232526,-0.7844833,3.843764,-0.8023662,-0.69634444,1.116199,0.7925536,-0.35997397,0.034924787,1.2022763,-0.5986269,-0.07826756,-0.2768044,-0.28811324,0.5586546,0.6575478,-1.0209262,0.38233063
-2.9122508,-2.4182255,5.6627865,-5.0179806,2.2171974,1.657687,-4.5518503,2.0843618,2.3078828,-5.699462,1.7307833,3.7350898,-5.6290956,2.7477112,2.2059011,-7.7833138,0.6840478,5.601497,-5.1553617,-0.48816913,5.5628858,-5.7294803,1.8451048,3.2431245,-6.0221562,3.2343464,2.615326,-7.7879972,2.1460044,3.5377276,-6.2878633,-0.8715846,5.5755677,-6.203459,1.7484536,3.6036873,-7.0323133,4.051009,1.6589671
-3.38592,1.1320006,1.4995146,-7.8537974,2.3286211,3.3515651,-7.2722955,3.1642268,2.386287,-2.5411384,0.8980597,1.001214,-0.8128366,1.1025739,-0.015002234,-4.4461417,1.3437833,2.1263423,-3.1074812,1.374781,1.2673756,-4.4134946,2.1989202,1.750538,-6.0507154,1.0131569,2.900177,-5.7612553,1.9572597,2.2905235,-4.50115,1.4072429,2.2257352,-6.239211,2.353554,1.889689,-4.3557825,0.6056554,2.5338242
-4.2116995,0.5580901,3.2788916,-4.618129,1.5549023,2.090884,-6.5574493,2.0461998,2.9066234,-8.311022,2.774507,3.851538,-3.251637,0.9788396,1.283639,-6.066264,0.29375732,4.6430135,-5.5119476,1.9061189,3.254944,-6.469439,2.1459377,3.3222656,-5.454457,2.0379004,1.9963652,-5.270624,0.6536243,3.2863576,-5.0275707,1.1741673,3.464464,-4.435229,0.5717665,2.9415696,-4.791142,0.6927876,3.1676288
-5.4624515,-3.1701484,8.515624,-3.153387,0.23735997,2.4523883,-6.3360834,-2.0340145,7.305467,-5.822098,-0.9409692,6.128239,-5.5961733,-0.050051395,4.3524966,-4.958765,-0.56980646,5.0160046,-5.3178844,-3.4400325,7.426682,-5.0647287,-0.85367113,5.2779117,-4.7107453,0.58377725,3.6996236,-5.890889,2.2040007,2.8700485,-5.826168,-0.4380451,5.8288107,-2.6024241,-0.8500856,3.1480799,-3.8306248,-1.0728523,4.486117
-3.3775287,-2.3114688,4.9829164,-3.0878434,0.10028162,2.1442075,-0.7283519,0.3415564,0.5370582,-3.9995086,-0.5323383,3.765081,-4.566257,-1.8718498,5.6008687,-2.9003592,0.35297692,2.1271565,-1.5840275,0.8274145,0.7138953,-4.115624,0.19099519,2.8612456,-5.9600244,-0.030970544,4.7004867,-2.8466675,-0.356485,2.763643,-5.791082,-2.567011,7.305052,-3.843391,-2.9683676,6.1814237,-8.406126,2.853171,3.6889954
-5.5437865,-1.7332541,5.8625207,-1.6400834,0.70674235,0.4957803,-4.3807273,0.5548697,2.7138414,-6.1569996,0.116463974,4.409148,-4.1447296,-0.7952157,3.6755917,-2.9725356,-1.1388023,3.0660143,-4.4094353,-0.30188477,4.1943603,-4.5913663,-1.828562,5.5107627,-3.8559413,-0.3194143,3.3282855,-2.6511543,1.1272473,0.76245964,-2.8563755,1.3733248,0.97873324,-4.120796,-0.60617256,4.157574,-4.187042,-1.0573981,4.2271667
-5.399602,1.0918906,2.3418846,-4.864037,-0.8934991,4.51075,-5.6835403,0.4438995,3.4706984,-5.8209505,0.6507086,3.1404657,-6.455138,-0.29494306,4.3974524,-5.740818,0.7199812,3.3438902,-5.4633517,1.4694469,2.8882382,-6.713159,1.0947547,3.5430768,-6.7387652,1.0091745,3.676506,-7.3894963,0.5486875,4.4672737,-7.315891,1.49209,4.1279707,-5.659565,-0.66180027,3.6512713,-4.3600655,-0.8795595,3.1315293
-2.4669178,-2.1432192,4.1181827,-3.9080906,-0.015748963,3.3046227,-4.6935997,-1.7502594,5.659585,-4.2106624,-1.7411647,5.0911984,-2.7757156,-0.72087985,2.7018585,-4.8956413,1.401267,2.6339154,-3.366279,1.656399,1.3306401,-4.088158,-2.0416303,5.604899,-4.2845488,-2.559407,5.5675836,-2.7859952,-0.5567116,2.7852437,-2.8797617,-0.67181414,3.0472453,-2.8770401,0.068552926,2.396827,-3.4199433,0.23626938,2.367084
-5.1103168,-0.5615368,4.369794,-6.336147,1.9925576,2.1924717,-3.4784772,-0.65800047,3.5146494,-5.581288,0.2596699,4.4231205,-7.133315,1.2305105,3.7596033,-6.6806216,0.8643959,3.877843,-4.5535765,0.58808535,3.1475034,-3.8609002,-2.76775,6.1516767,-6.5943747,0.10104952,5.220334,-3.0711246,-0.754254,2.6650808,-3.1912956,-1.2861165,3.1784856,-1.6633564,-2.106275,1.992073,-2.3338864,-0.63745743,2.417645
